"","sumX","medianX","maxX","stdX","val_75","val_87_5","max_dif","med_dif","mean_upper_dif","sum_1st_half","sum_2nd_half"
"82",0.111940298507463,0.0995024875621891,0.0746268656716418,0.082089552238806,0.131840796019901,0.131840796019901,0.0522388059701493,0.0447761194029851,0.0597014925373134,0,515
"83",0.0373134328358209,0,0.0149253731343284,0.0223880597014925,0.0248756218905473,0.0248756218905473,0.0149253731343284,0.00497512437810945,0.0149253731343284,258,724
"84",0.124378109452736,0.129353233830846,0.0621890547263682,0.0920398009950249,0.134328358208955,0.134328358208955,0.0472636815920398,0.0422885572139304,0.0572139303482587,0,888
"85",0.0970149253731343,0.082089552238806,0.101990049751244,0.101990049751244,0.0995024875621891,0.0995024875621891,0.121890547263682,0.0422885572139304,0.111940298507463,412,1
"86",0,0,0,0,0,0,0.00248756218905473,0,0.00248756218905473,354,928
"87",0.0298507462686567,0.0422885572139304,0.0323383084577114,0.0348258706467662,0.0298507462686567,0.0298507462686567,0.027363184079602,0.0248756218905473,0.027363184079602,0,408
"88",0.23134328358209,0,0.169154228855721,0.206467661691542,0.134328358208955,0.134328358208955,0.159203980099502,0,0.171641791044776,347,7
"89",0.191542288557214,0,0,0.191542288557214,0,0,0,0,0,0,905
"90",0.082089552238806,0.189054726368159,0.0572139303482587,0.0696517412935323,0.0696517412935323,0.0696517412935323,0.027363184079602,0.131840796019901,0.0298507462686567,370,498
"91",0.0199004975124378,0.00995024875621891,0.0174129353233831,0.0199004975124378,0.0124378109452736,0.0124378109452736,0.0149253731343284,0.00746268656716418,0.0149253731343284,347,638
"92",0.159203980099502,0,0.186567164179104,0.194029850746269,0.101990049751244,0.101990049751244,0.17910447761194,0.119402985074627,0.164179104477612,0,1
"93",0,0,0,0,0,0,0,0,0,0,896
"94",0.191542288557214,0.17910447761194,0.159203980099502,0.161691542288557,0.208955223880597,0.208955223880597,0.169154228855721,0.151741293532338,0.164179104477612,324,878
"95",0.0472636815920398,0.0895522388059701,0.0124378109452736,0.0248756218905473,0.054726368159204,0.054726368159204,0.00497512437810945,0.0199004975124378,0.00497512437810945,336,1
"96",0,0,0,0,0,0,0,0,0,0,1
"97",0,0,0,0,0,0,0.00248756218905473,0,0.00248756218905473,0,1
"98",0,0,0,0,0,0,0,0,0,0,509
"99",0.0597014925373134,0.0323383084577114,0.0497512437810945,0.0746268656716418,0.0373134328358209,0.0373134328358209,0.0373134328358209,0.0199004975124378,0.0373134328358209,303,1
"100",0,0,0,0,0,0,0,0,0,0,434
